,material ids,formula,composition,structure,band gaps,theoretical,stable,density,vpa,packing fraction,structural complexity per atom,structural complexity per cell,max packing efficiency
14,mp-1105645,Ag3SBr,Ag12 S4 Br4,"Full Formula (Ag12 S4 Br4)
Reduced Formula: Ag3SBr
abc   :   6.992430   6.992430   9.917093
angles:  90.000000  90.000000  91.050713
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.552885  0.974824  0.75            -0
  1  Ag    0.025176  0.447115  0.25            -0
  2  Ag    0.447115  0.025176  0.25            -0
  3  Ag    0.974824  0.552885  0.75            -0
  4  Ag    0.257448  0.257448  0.020667        -0
  5  Ag    0.742552  0.742552  0.979333        -0
  6  Ag    0.257448  0.257448  0.479333        -0
  7  Ag    0.742552  0.742552  0.520667        -0
  8  Ag    0.291776  0.708224  0               -0
  9  Ag    0.291776  0.708224  0.5             -0
 10  Ag    0.708224  0.291776  0               -0
 11  Ag    0.708224  0.291776  0.5             -0
 12  S     0.5       0         0               -0
 13  S     0         0.5       0               -0
 14  S     0.5       0         0.5             -0
 15  S     0         0.5       0.5             -0
 16  Br    0.967219  0.967219  0.75            -0
 17  Br    0.032781  0.032781  0.25            -0
 18  Br    0.495861  0.495861  0.75            -0
 19  Br    0.504139  0.504139  0.25            -0",0.2964,False,0,5.967646430204268,24.240275882257457,0.5118033379257827,2.521928094887362,50.438561897747235,0.3947076452290711
18,mp-22995,Ag3SI,Ag3 S1 I1,"Full Formula (Ag3 S1 I1)
Reduced Formula: Ag3SI
abc   :   4.957724   4.957724   4.957723
angles:  89.909359  89.909359  89.909357
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.525981  0.027087  0.381919        -0
  1  Ag    0.027087  0.381919  0.525981        -0
  2  Ag    0.381919  0.525981  0.027087        -0
  3  S     0.530804  0.530804  0.530804        -0
  4  I     0.998208  0.998208  0.998208         0",0.7261000000000002,False,0,6.576090262229425,24.371110000290518,0.5511007464357176,1.3709505944546687,6.854752972273344,0.4090553413620187
19,mp-558189,Ag3SI,Ag3 S1 I1,"Full Formula (Ag3 S1 I1)
Reduced Formula: Ag3SI
abc   :   5.009586   5.009586   5.009586
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0.5  0.5  0          -0
  1  Ag    0.5  0    0.5        -0
  2  Ag    0    0.5  0.5        -0
  3  S     0.5  0.5  0.5        -0
  4  I     0    0    0          -0",0.6242999999999999,False,0,6.373934116559119,25.144065850362182,0.5341593118852582,1.3709505944546687,6.854752972273344,0.4469195102224146
27,mp-558950,AgAsO3,Ag24 As24 O72,"Full Formula (Ag24 As24 O72)
Reduced Formula: AgAsO3
abc   :   6.755519  12.790828  20.006086
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (120)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.546128  0.632933  0.611936        -0
  1  Ag    0.00493   0.54929   0.053221         0
  2  Ag    0.103357  0.629182  0.865948         0
  3  Ag    0.501434  0.875163  0.939324        -0
  4  Ag    0.597266  0.210464  0.698215         0
  5  Ag    0.501434  0.375163  0.560676        -0
  6  Ag    0.546128  0.132933  0.888064         0
  7  Ag    0.402734  0.710464  0.301785         0
  8  Ag    0.935978  0.392527  0.189879        -0
  9  Ag    0.99507   0.04929   0.946779         0
 10  Ag    0.896643  0.629182  0.365948         0
 11  Ag    0.453872  0.632933  0.111936        -0
 12  Ag    0.597266  0.710464  0.801785         0
 13  Ag    0.402734  0.210464  0.198215         0
 14  Ag    0.896643  0.129182  0.134052         0
 15  Ag    0.935978  0.892527  0.310121        -0
 16  Ag    0.00493   0.04929   0.446779         0
 17  Ag    0.064022  0.892527  0.810121        -0
 18  Ag    0.064022  0.392527  0.689879        -0
 19  Ag    0.498566  0.875163  0.439324        -0
 20  Ag    0.103357  0.129182  0.634052         0
 21  Ag    0.498566  0.375163  0.060676        -0
 22  Ag    0.99507   0.54929   0.553221         0
 23  Ag    0.453872  0.132933  0.388064        -0
 24  As    0.207192  0.382404  0.375345        -0
 25  As    0.207192  0.882404  0.124655        -0
 26  As    0.456636  0.459454  0.245026        -0
 27  As    0.707241  0.880907  0.123961        -0
 28  As    0.034297  0.80172   0.494198         0
 29  As    0.456636  0.959454  0.254974        -0
 30  As    0.792808  0.882404  0.624655        -0
 31  As    0.965703  0.30172   0.505802         0
 32  As    0.792808  0.382404  0.875345        -0
 33  As    0.292759  0.880907  0.623961        -0
 34  As    0.965703  0.80172   0.994198         0
 35  As    0.048536  0.694592  0.695873        -0
 36  As    0.540511  0.568952  0.946208        -0
 37  As    0.048536  0.194592  0.804127        -0
 38  As    0.292759  0.380907  0.876039        -0
 39  As    0.707241  0.380907  0.376039        -0
 40  As    0.459489  0.568952  0.446208        -0
 41  As    0.034297  0.30172   0.005802         0
 42  As    0.459489  0.068952  0.053792        -0
 43  As    0.951464  0.694592  0.195873        -0
 44  As    0.540511  0.068952  0.553792        -0
 45  As    0.951464  0.194592  0.304127        -0
 46  As    0.543364  0.959454  0.754974         0
 47  As    0.543364  0.459454  0.745026        -0
 48  O     0.130953  0.241566  0.36195          0
 49  O     0.544324  0.829422  0.609174        -0
 50  O     0.020828  0.718015  0.276885         0
 51  O     0.833206  0.367726  0.968453         0
 52  O     0.042261  0.433363  0.860154        -0
 53  O     0.250457  0.896188  0.218046         0
 54  O     0.869047  0.741566  0.63805          0
 55  O     0.542735  0.879879  0.316972         0
 56  O     0.105383  0.376218  0.072609         0
 57  O     0.776144  0.790432  0.05432          0
 58  O     0.09822   0.571442  0.670361        -0
 59  O     0.364346  0.475925  0.808342         0
 60  O     0.957739  0.433363  0.360154        -0
 61  O     0.833206  0.867726  0.531547         0
 62  O     0.718918  0.521911  0.888797         0
 63  O     0.508389  0.691308  0.41845          0
 64  O     0.042261  0.933363  0.639846        -0
 65  O     0.975807  0.176541  0.025329        -0
 66  O     0.166794  0.867726  0.031547        -0
 67  O     0.677128  0.491331  0.437833        -0
 68  O     0.894617  0.876218  0.927391         0
 69  O     0.677128  0.991331  0.062167        -0
 70  O     0.024193  0.676541  0.974671        -0
 71  O     0.90178   0.071442  0.329639        -0
 72  O     0.322872  0.991331  0.562167        -0
 73  O     0.223856  0.790432  0.55432          0
 74  O     0.606841  0.082066  0.779187        -0
 75  O     0.606841  0.582066  0.720813         0
 76  O     0.508389  0.191308  0.08155          0
 77  O     0.90178   0.571442  0.170361        -0
 78  O     0.455676  0.329422  0.390826         0
 79  O     0.735043  0.771659  0.185443        -0
 80  O     0.455676  0.829422  0.109174        -0
 81  O     0.491611  0.191308  0.58155          0
 82  O     0.264957  0.771659  0.685443        -0
 83  O     0.979172  0.218015  0.723115         0
 84  O     0.390092  0.54882   0.527419         0
 85  O     0.718918  0.021911  0.611203         0
 86  O     0.390092  0.04882   0.972581         0
 87  O     0.609908  0.54882   0.027419         0
 88  O     0.130953  0.741566  0.13805          0
 89  O     0.393159  0.582066  0.220813         0
 90  O     0.749543  0.896188  0.718046         0
 91  O     0.957739  0.933363  0.139846        -0
 92  O     0.09822   0.071442  0.829639        -0
 93  O     0.024193  0.176541  0.525329         0
 94  O     0.364346  0.975925  0.691658         0
 95  O     0.542735  0.379879  0.183028         0
 96  O     0.975807  0.676541  0.474671        -0
 97  O     0.544324  0.329422  0.890826         0
 98  O     0.281082  0.021911  0.111203         0
 99  O     0.635654  0.475925  0.308342        -0
100  O     0.457265  0.879879  0.816972         0
101  O     0.609908  0.04882   0.472581         0
102  O     0.979172  0.718015  0.776885         0
103  O     0.020828  0.218015  0.223115         0
104  O     0.250457  0.396188  0.281954         0
105  O     0.457265  0.379879  0.683028         0
106  O     0.281082  0.521911  0.388797         0
107  O     0.749543  0.396188  0.781954         0
108  O     0.635654  0.975925  0.191658         0
109  O     0.491611  0.691308  0.91845          0
110  O     0.869047  0.241566  0.86195          0
111  O     0.166794  0.367726  0.468453        -0
112  O     0.223856  0.290432  0.94568          0
113  O     0.776144  0.290432  0.44568          0
114  O     0.322872  0.491331  0.937833        -0
115  O     0.393159  0.082066  0.279187         0
116  O     0.264957  0.271659  0.814557        -0
117  O     0.894617  0.376218  0.572609         0
118  O     0.735043  0.271659  0.314557        -0
119  O     0.105383  0.876218  0.427391         0",0.49849999999999994,False,0,5.3205196643791055,14.405829290256117,0.36432816890258607,4.906890595608519,588.8268714730223,0.2444537914895961
33,mp-23548,AgBiO3,Ag2 Bi2 O6,"Full Formula (Ag2 Bi2 O6)
Reduced Formula: AgBiO3
abc   :   6.303216   6.303216   6.303216
angles:  54.560535  54.560535  54.560532
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.13161   0.13161   0.13161         -0
  1  Ag    0.86839   0.86839   0.86839         -0
  2  Bi    0.341992  0.341992  0.341992        -0
  3  Bi    0.658008  0.658008  0.658008        -0
  4  O     0.458114  0.708265  0.060033         0
  5  O     0.541886  0.291735  0.939967         0
  6  O     0.291735  0.939967  0.541886         0
  7  O     0.939967  0.541886  0.291735         0
  8  O     0.060033  0.458114  0.708265         0
  9  O     0.708265  0.060033  0.458114         0",0.0,False,0,7.8360223650541085,15.463007543874294,0.47893535982889435,1.3709505944546687,13.709505944546688,0.36513593811581013
38,mp-27941,AgClO3,Ag4 Cl4 O12,"Full Formula (Ag4 Cl4 O12)
Reduced Formula: AgClO3
abc   :   7.367088   7.367088   7.367088
angles: 107.884822 107.884822 112.692852
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.297407  0.297407  0                0
  1  Ag    0.702593  0.702593  0                0
  2  Ag    0.25      0.75      0.5              0
  3  Ag    0.75      0.25      0.5              0
  4  Cl    0.190957  0.737686  0.928643         0
  5  Cl    0.737686  0.809043  0.546729         0
  6  Cl    0.262314  0.190957  0.453271         0
  7  Cl    0.809043  0.262314  0.071357         0
  8  O     0.25844   0.577391  0.835832        -0
  9  O     0.577391  0.74156   0.318951        -0
 10  O     0.422609  0.25844   0.681049        -0
 11  O     0.741559  0.422608  0.164168        -0
 12  O     0.062902  0.403547  0.167146        -0
 13  O     0.403547  0.236401  0.340645        -0
 14  O     0.895756  0.062902  0.659355        -0
 15  O     0.236401  0.895756  0.832854        -0
 16  O     0.763599  0.104244  0.167146        -0
 17  O     0.104244  0.937098  0.340645        -0
 18  O     0.596453  0.763599  0.659355        -0
 19  O     0.937098  0.596453  0.832854        -0",2.3983,False,0,4.138469148530601,15.35318140579938,0.3134257363389802,2.1219280948873624,42.43856189774725,0.20382399308204105
46,mp-1202188,AgIO3,Ag8 I8 O24,"Full Formula (Ag8 I8 O24)
Reduced Formula: AgIO3
abc   :   5.714810   5.981865  17.248739
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (40)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.522012  0.290456  0.537549        -0
  1  Ag    0.477988  0.790456  0.962451        -0
  2  Ag    0.977988  0.709544  0.037549        -0
  3  Ag    0.022012  0.209544  0.462451        -0
  4  Ag    0.477988  0.709544  0.462451        -0
  5  Ag    0.522012  0.209544  0.037549        -0
  6  Ag    0.022012  0.290456  0.962451        -0
  7  Ag    0.977988  0.790456  0.537549        -0
  8  I     0.007692  0.314755  0.665069        -0
  9  I     0.992308  0.814755  0.834931        -0
 10  I     0.492308  0.685245  0.165069        -0
 11  I     0.507692  0.185245  0.334931        -0
 12  I     0.992308  0.685245  0.334931        -0
 13  I     0.007692  0.185245  0.165069        -0
 14  I     0.507692  0.314755  0.834931        -0
 15  I     0.492308  0.814755  0.665069        -0
 16  O     0.135439  0.404144  0.571919         0
 17  O     0.864561  0.904144  0.928081         0
 18  O     0.364561  0.595856  0.071919         0
 19  O     0.635439  0.095856  0.428081         0
 20  O     0.864561  0.595856  0.428081         0
 21  O     0.135439  0.095856  0.071919         0
 22  O     0.635439  0.404144  0.928081         0
 23  O     0.364561  0.904144  0.571919         0
 24  O     0.249049  0.157196  0.708028        -0
 25  O     0.750951  0.657196  0.791972        -0
 26  O     0.250951  0.842804  0.208029        -0
 27  O     0.749049  0.342804  0.291971        -0
 28  O     0.750951  0.842804  0.291971        -0
 29  O     0.249049  0.342804  0.208029        -0
 30  O     0.749049  0.157196  0.791972        -0
 31  O     0.250951  0.657196  0.708028        -0
 32  O     0.839923  0.084923  0.619384        -0
 33  O     0.160077  0.584923  0.880616        -0
 34  O     0.660077  0.915077  0.119384        -0
 35  O     0.339923  0.415077  0.380616        -0
 36  O     0.160077  0.915077  0.380616        -0
 37  O     0.839923  0.415077  0.119384        -0
 38  O     0.339923  0.084923  0.880616        -0
 39  O     0.660077  0.584923  0.619384        -0",1.8068999999999997,False,0,6.370565024964008,14.741300801152178,0.4255480771546155,2.321928094887362,92.87712379549448,0.26407047423136365
47,mp-27384,AgIO3,Ag8 I8 O24,"Full Formula (Ag8 I8 O24)
Reduced Formula: AgIO3
abc   :   5.669286   7.239415  15.254440
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (40)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.006695  0.600267  0.704647        -0
  1  Ag    0.506695  0.399733  0.295353        -0
  2  Ag    0.006695  0.399733  0.204647        -0
  3  Ag    0.506695  0.600267  0.795353        -0
  4  Ag    0.997322  0.125175  0.708233        -0
  5  Ag    0.497322  0.874825  0.291767        -0
  6  Ag    0.997322  0.874825  0.208233        -0
  7  Ag    0.497322  0.125175  0.791767        -0
  8  I     0.595008  0.864259  0.58787          0
  9  I     0.095008  0.135741  0.41213          0
 10  I     0.595008  0.135741  0.08787          0
 11  I     0.095008  0.864259  0.91213          0
 12  I     0.523216  0.359804  0.586846        -0
 13  I     0.023216  0.640196  0.413154        -0
 14  I     0.523216  0.640196  0.086846        -0
 15  I     0.023216  0.359804  0.913154        -0
 16  O     0.170325  0.36765   0.805693         0
 17  O     0.670325  0.63235   0.194307         0
 18  O     0.170325  0.63235   0.305693         0
 19  O     0.670325  0.36765   0.694307         0
 20  O     0.119269  0.859592  0.793222        -0
 21  O     0.619269  0.140408  0.206778        -0
 22  O     0.119269  0.140408  0.293222        -0
 23  O     0.619269  0.859592  0.706778        -0
 24  O     0.300439  0.054774  0.929379         0
 25  O     0.800439  0.945226  0.070621         0
 26  O     0.300439  0.945226  0.429379         0
 27  O     0.800439  0.054774  0.570621         0
 28  O     0.82555   0.168199  0.887036        -0
 29  O     0.32555   0.831801  0.112964        -0
 30  O     0.82555   0.831801  0.387036        -0
 31  O     0.32555   0.168199  0.612964        -0
 32  O     0.321999  0.552797  0.604064        -0
 33  O     0.821999  0.447203  0.395936        -0
 34  O     0.321999  0.447203  0.104064        -0
 35  O     0.821999  0.552797  0.895936        -0
 36  O     0.803777  0.67465   0.568353         0
 37  O     0.303777  0.32535   0.431647         0
 38  O     0.803777  0.32535   0.068353         0
 39  O     0.303777  0.67465   0.931647         0",2.4375,False,1,5.999922075919814,15.65193916154271,0.40078945783928027,3.321928094887362,132.8771237954945,0.25342081966817853
49,mp-552185,AgNO3,Ag2 N2 O6,"Full Formula (Ag2 N2 O6)
Reduced Formula: AgNO3
abc   :   6.201768   6.201685   6.201687
angles:  49.089530  49.086917  49.088563
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.996583  0.99655   0.996553         0
  1  Ag    0.496535  0.496554  0.496587        -0
  2  N     0.222979  0.223063  0.223067        -0
  3  N     0.723038  0.723051  0.722976         0
  4  O     0.66413   0.991762  0.511417        -0
  5  O     0.491699  0.164084  0.011553         0
  6  O     0.511501  0.664108  0.991681        -0
  7  O     0.991737  0.511406  0.664124         0
  8  O     0.164114  0.011469  0.491747        -0
  9  O     0.011483  0.491751  0.164095         0",1.8539,False,1,4.509524594558627,12.510450403344892,0.33607051007333033,1.3709505944546687,13.709505944546688,0.1840040072193316
50,mp-638686,AgNO3,Ag8 N8 O24,"Full Formula (Ag8 N8 O24)
Reduced Formula: AgNO3
abc   :   6.902051   7.202858  10.013824
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (40)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.886831  0.4752    0.380813        -0
  1  Ag    0.113169  0.9752    0.119187        -0
  2  Ag    0.613169  0.9752    0.380813        -0
  3  Ag    0.886831  0.0248    0.880813        -0
  4  Ag    0.386831  0.4752    0.119187        -0
  5  Ag    0.113169  0.5248    0.619187        -0
  6  Ag    0.613169  0.5248    0.880813        -0
  7  Ag    0.386831  0.0248    0.619187        -0
  8  N     0.123101  0.863871  0.403003        -0
  9  N     0.876899  0.136129  0.596997        -0
 10  N     0.623101  0.636129  0.596997        -0
 11  N     0.876899  0.363871  0.096997        -0
 12  N     0.376899  0.363871  0.403003        -0
 13  N     0.123101  0.636129  0.903003        -0
 14  N     0.623101  0.863871  0.096997        -0
 15  N     0.376899  0.136129  0.903003        -0
 16  O     0.237763  0.98316   0.355625         0
 17  O     0.995573  0.215686  0.673268         0
 18  O     0.504427  0.715686  0.673268         0
 19  O     0.762237  0.01684   0.644375         0
 20  O     0.504427  0.784314  0.173268         0
 21  O     0.004427  0.715686  0.826732         0
 22  O     0.372283  0.172356  0.026897         0
 23  O     0.004427  0.784314  0.326732         0
 24  O     0.495573  0.215686  0.826732         0
 25  O     0.627717  0.827643  0.973103         0
 26  O     0.237763  0.51684   0.855625         0
 27  O     0.262237  0.48316   0.355625         0
 28  O     0.737763  0.98316   0.144375         0
 29  O     0.495573  0.284314  0.326732         0
 30  O     0.995573  0.284314  0.173268         0
 31  O     0.737763  0.51684   0.644375         0
 32  O     0.372283  0.327643  0.526897         0
 33  O     0.262237  0.01684   0.855625         0
 34  O     0.872283  0.172356  0.473103         0
 35  O     0.127717  0.827643  0.526897         0
 36  O     0.762237  0.48316   0.144375         0
 37  O     0.627717  0.672357  0.473103         0
 38  O     0.872283  0.327643  0.973103         0
 39  O     0.127717  0.672357  0.026897         0",2.0088999999999997,False,0,4.5329484360874295,12.4458031187279,0.33781616245982843,2.321928094887362,92.87712379549448,0.17970401643038264
